segmentId,time,dimensionlessDischarge,overThreshold,threshold
70,312.000000,0.000000,0,40.724000
71,312.000000,43.608764,1,42.006685
72,312.000000,0.000000,0,38.777822
73,312.000000,82.107793,1,48.185216
74,312.000000,125.391620,1,70.453741
75,312.000000,88.697798,1,61.819628
76,312.000000,177.381555,1,105.244662
77,312.000000,84.154696,0,111.440239
78,312.000000,258.405221,1,54.729799
79,312.000000,383.706580,1,34.395239
80,312.000000,0.000000,0,49.378177
81,312.000000,0.000000,0,47.976722
82,312.000000,505.417585,1,44.762856
83,312.000000,0.000000,0,31.047587
84,312.000000,606.559270,1,66.101004
85,312.000000,180.149537,1,93.958648
86,312.000000,1109.399422,1,84.865091
87,312.000000,1095.158352,1,59.049141
88,312.000000,107.851034,1,63.199054
89,312.000000,230.454613,1,46.000685
90,312.000000,1653.368186,1,47.752969
91,312.000000,132.782936,1,54.590463
92,312.000000,729.192936,1,62.677477
93,312.000000,929.089422,1,79.254143
94,312.000000,2128.137384,1,94.809695
95,312.000000,239.169747,1,112.875211
96,312.000000,328.707968,1,43.945868
97,312.000000,2762.667319,1,49.288793
98,312.000000,322.800933,1,52.868705
99,312.000000,1991.342879,1,50.557409
100,312.000000,746.693406,1,41.343211
101,312.000000,308.981078,1,102.378880
102,312.000000,2740.202533,1,67.047738
103,312.000000,2602.505425,1,162.623289
104,312.000000,1576.947796,1,55.702925
105,312.000000,760.533319,1,42.044462
106,312.000000,4519.433698,1,69.591700
107,312.000000,704.551873,1,96.813401
108,312.000000,3346.852063,1,98.728949
109,312.000000,1097.565294,1,136.945331
110,312.000000,1005.900941,1,52.062812
111,312.000000,416.438476,1,57.718733
112,312.000000,1274.137013,1,105.395421
113,312.000000,2283.961769,1,52.253446
114,312.000000,380.710440,1,58.130243
115,312.000000,519.184789,1,76.508499
116,312.000000,523.472153,1,65.373050
117,312.000000,2782.048212,1,214.557635
118,312.000000,590.339995,1,45.287520
119,312.000000,342.507766,1,57.084843
120,312.000000,572.099892,1,62.019657
121,312.000000,640.321638,1,130.125002
122,312.000000,390.125091,1,41.332097
123,312.000000,720.916568,1,51.467003
124,312.000000,747.174794,1,315.223399
125,312.000000,492.680854,1,146.484550
126,312.000000,552.393059,1,52.248274
127,312.000000,1125.987260,1,65.364735
128,312.000000,670.995098,1,97.790672
